When-Taking-Survey,First-Time,Status,Status-Other,Department,Discipline,Discipline-Other,OS,With-Friend,Programming-Usage,Column4,Current-Tools,Have-Dataset,Data-Management-Strategy,Data-Analysis-Workflow,Data-Organization,Using-Scripting-Language,Using-R-or-Python,Value-of-SQL-or-Python,Hope-to-Learn,Workshop-in-US
I am taking this survey before coming to the workshop,Yes,Industry,,Molecular Genetics,"Life science (biology, genetics)",,Windows,Yes,I have never programmed,Excel or other spreadsheet program,Excel or other spreadsheet program,I do not have data yet.,Unsatisfied,Unsatisfied,Agree,Neutral,Neutral,Neutral,Learning new and efficient ways to handle any kind of data I have to deal with.,No
I am taking this survey before coming to the workshop,Yes,Graduate Student,,School of Natural Resources & Environment/Fisheries & Aquatic Sciences,"Life science (ecology, zoology, botany)",,Windows,No,Weekly,Excel or other spreadsheet program,"Excel or other spreadsheet program,R,MATLAB","Yes, and I've already done a fair bit of analysis.",Neutral,Neutral,Agree,Agree,Agree,Neutral,I've just started to learn R in a class I'm taking. I want to learn how to use it more functionally. I also want to learn alternate ways to dealing with data rather than my typical status quo. ,Yes
I am taking this survey before coming to the workshop,Yes,Graduate Student,,information systems and operation management,Computer science and electrical engineering,,Windows,No,Monthly,Excel or other spreadsheet program,"Excel or other spreadsheet program,SQL,R","Yes, I have data but I haven't started analyzing it yet.",Not sure,Not sure,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,I want to make a career in data science.this is one of the steps in that direction,Yes
I am taking this survey before coming to the workshop,Yes,Post-doc,,Biochemistry and molecular biology,"Life science (biology, genetics)",,Linux,No,Daily,Excel or other spreadsheet program,"Excel or other spreadsheet program,Python,MATLAB",I am working on generating data.,Neutral,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,Yes
I am taking this survey before coming to the workshop,Yes,Faculty,,WEC,"Life science (ecology, zoology, botany)",,Windows,No,Several times a year,Excel or other spreadsheet program,"Excel or other spreadsheet program,FileMaker Pro or Microsoft Access,R","Yes, I have data but I haven't started analyzing it yet.",Very unsatisfied,Very unsatisfied,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,How to quickly and effective generate reports from large data sets. ,Yes
I am taking this survey before coming to the workshop,Yes,Graduate Student,,Psychology,Other (please specify),Behavior Analysis,Windows,No,Several times a year,Excel or other spreadsheet program,Excel or other spreadsheet program,"Yes, I have data but I haven't started analyzing it yet.",Neutral,Neutral,Strongly agree,Strongly agree,Neutral,Neutral,How to more efficiently analyze large sets of data. ,Yes
I am taking this survey before coming to the workshop,Yes,,,sociology,Humanities,,Windows,Yes,,,,,,,,,,,,
I am taking this survey before coming to the workshop,Yes,Post-doc,,Biological Chemistry,"Life science (biology, genetics)",,Windows,Not sure,Several times a year,Excel or other spreadsheet program,"Excel or other spreadsheet program,R",I am working on generating data.,Neutral,Neutral,Agree,Strongly agree,Agree,Neutral,"The part I am more interested in is how to best organize big dataset in Excel spread sheets, how to export them in more widely accepted formats, and perform different statistical analyses on them.  I am also looking forward to learn about OpenRefine  ",No
I am taking this survey before coming to the workshop,Yes,Industry,,Molecuar Genetics,"Life science (biology, genetics)",,Windows,Yes,I have never programmed,Excel or other spreadsheet program,Excel or other spreadsheet program,I am working on generating data.,Neutral,Neutral,Agree,Agree,Neutral,Neutral,,No
I am taking this survey before coming to the workshop,Yes,Other (please specify),Deputy Director of Assessment,Data Carpentry,Other (please specify),Educational Research,Apple OS,No,Several times a year,Excel or other spreadsheet program,Excel or other spreadsheet program,"Yes, and I've already done a fair bit of analysis.",Unsatisfied,Unsatisfied,Agree,Neutral,Neutral,Neutral,To learn how to run analyses in R,Yes
I am taking this survey before coming to the workshop,,,,,,,,,,,,,,,,,,,,
I am taking this survey before coming to the workshop,,,,,,,,,,,,,,,,,,,,
I am taking this survey at the workshop (and I have not previously taken a survey for this workshop),,,,,,,,,,,,,,,,,,,,
I am taking this survey before coming to the workshop,Yes,Graduate Student,,Molecular Genetics,Other (please specify),Plant science,Windows,Not sure,I have never programmed,,,"Yes, I have data but I haven't started analyzing it yet.",Neutral,Neutral,Agree,Strongly agree,Agree,Agree,How to handle and analyze big data set,No
I am taking this survey before coming to the workshop,,,,,,,,,,,,,,,,,,,,
I am taking this survey at the workshop (and I have not previously taken a survey for this workshop),Yes,Graduate Student,,Ecology and Evolution,"Life science (biology, genetics)",,Windows,Yes,,,,,,,,,,,,
I am taking this survey before coming to the workshop,Yes,Graduate Student,,Evolutionary biology,"Life science (biology, genetics)",,Apple OS,Yes,Monthly,,R,"Yes, and I've already done a fair bit of analysis.",Neutral,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,I would like to look what are th easiest options to organise data.,No
I am taking this survey before coming to the workshop,Yes,Graduate Student,,Ecology,"Life science (ecology, zoology, botany)",,Apple OS,No,Monthly,Excel or other spreadsheet program,"Excel or other spreadsheet program,R","Yes, and I've already done a fair bit of analysis.",Satisfied,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,"- I don't really know how to write loops to make things repeatable rather than running them each individually, so I would like to become more efficient with my scripts  - my data is currently stored in individual csv files, maybe there is a better database way of handling this?",No
I am taking this survey at the workshop (and I have not previously taken a survey for this workshop),Yes,Faculty,,,"Life science (biology, genetics)",,Windows,Yes,I have never programmed,,,"Yes, I have data but I haven't started analyzing it yet.",Neutral,Neutral,Agree,Strongly agree,Strongly agree,Neutral,,Yes
I am taking this survey at the workshop (and I have not previously taken a survey for this workshop),Yes,Graduate Student,,Bioinformatics,Statistics,,Apple OS,Yes,Daily,Excel or other spreadsheet program,"Excel or other spreadsheet program,R,Python","Yes, and I've already done a fair bit of analysis.",Satisfied,Satisfied,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,Yes
I am taking this survey before coming to the workshop,,,,,,,,,,,,,,,,,,,,
I am taking this survey at the workshop (and I have not previously taken a survey for this workshop),Yes,Faculty,,Biochemistry,"Life science (biology, genetics)",,Windows,Yes,Less than once a year,Excel or other spreadsheet program,Excel or other spreadsheet program,"Yes, I have data but I haven't started analyzing it yet.",Unsatisfied,Unsatisfied,Strongly agree,Strongly agree,Strongly agree,Strongly agree,To be able to start to help myself in this field.,No
I am taking this survey before coming to the workshop,Yes,Graduate Student,,Ecology and Behaviour,"Life science (ecology, zoology, botany)",,Windows,Yes,Weekly,Excel or other spreadsheet program,"Excel or other spreadsheet program,R","Yes, I have data but I haven't started analyzing it yet.",Not sure,Not sure,Strongly agree,Agree,Agree,Neutral,"to be better in managing data, in a more efficient way",No
I am taking this survey before coming to the workshop,Yes,Staff,,University Library,Other (please specify),n/a Systems Librarian,Apple OS,Not sure,Several times a year,Excel or other spreadsheet program,"Excel or other spreadsheet program,SQL","Yes, and I've already done a fair bit of analysis.",Satisfied,Satisfied,Strongly agree,Agree,Agree,Agree,The possibilities of using Ro or Python to query data sets.,No
I am taking this survey at the workshop (and I have not previously taken a survey for this workshop),No,,,,,,,,,,,,,,,,,,,
I am taking this survey before coming to the workshop,Yes,Post-doc,,Biochemistry,"Life science (biology, genetics)",,Linux,No,Weekly,Excel or other spreadsheet program,"Excel or other spreadsheet program,R,Python,MATLAB",I am working on generating data.,Unsatisfied,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Effective data management strategies  Using R effectively.,Yes
I am taking this survey before coming to the workshop,,,,,,,,,,,,,,,,,,,,
I am taking this survey at the workshop (and I have not previously taken a survey for this workshop),Yes,Other (please specify),Research Scientist,,"Life science (biology, genetics)",,Apple OS,Not sure,I have never programmed,Excel or other spreadsheet program,Excel or other spreadsheet program,"Yes, I have data but I haven't started analyzing it yet.",Satisfied,Satisfied,Agree,Agree,Agree,Agree,analyze DNA sequence data,Yes
I am taking this survey before coming to the workshop,Yes,Graduate Student,,Microbiology,"Life science (biology, genetics)",,Windows,Not sure,Several times a year,Excel or other spreadsheet program,"Excel or other spreadsheet program,R","Yes, and I've already done a fair bit of analysis.",Neutral,Neutral,Agree,Strongly agree,Neutral,Neutral,Learn new tools for organizing and treating my data sets and discover the possibilities offered by the programs presented during the course.,No
I am taking this survey before coming to the workshop,,,,,,,,,,,,,,,,,,,,
I am taking this survey before coming to the workshop,,,,,,,,,,,,,,,,,,,,
I am taking this survey at the workshop (and I have not previously taken a survey for this workshop),,,,,,,,,,,,,,,,,,,,
I am taking this survey before coming to the workshop,Yes,Post-doc,,Molecular genetics,"Life science (biology, genetics)",,Apple OS,Yes,Several times a year,,R,"Yes, I have data but I haven't started analyzing it yet.",Unsatisfied,Very unsatisfied,Strongly agree,Strongly agree,Strongly agree,Neutral,,Yes
I am taking this survey before coming to the workshop,No,Staff,,Research,"Life science (biology, genetics)",,Apple OS,Yes,Less than once a year,Excel or other spreadsheet program,Excel or other spreadsheet program,I do not have data yet.,Satisfied,Satisfied,Agree,Neutral,Neutral,Neutral,command line tricks,Yes
I am taking this survey at the workshop (and I have not previously taken a survey for this workshop),Yes,Graduate Student,,Environmental Biology,"Life science (ecology, zoology, botany)",,Windows,No,Daily,Excel or other spreadsheet program,"Excel or other spreadsheet program,FileMaker Pro or Microsoft Access,R,Python,MATLAB","Yes, I have data but I haven't started analyzing it yet.",Unsatisfied,Unsatisfied,Strongly agree,Strongly agree,Agree,Neutral,additional data analysis tools,Yes
I am taking this survey before coming to the workshop,No,Post-doc,,Genetic Resource Sciences,"Life science (biology, genetics)",,Apple OS,Yes,Several times a year,,R,"Yes, I have data but I haven't started analyzing it yet.",Unsatisfied,Very unsatisfied,Agree,Strongly agree,Strongly agree,Agree,Learn basic data management for large sequencing data sets,Yes
I am taking this survey before coming to the workshop,Yes,Faculty,,Research,"Life science (biology, genetics)",,Apple OS,Yes,Less than once a year,Excel or other spreadsheet program,Excel or other spreadsheet program,"Yes, I have data but I haven't started analyzing it yet.",Very unsatisfied,Very unsatisfied,Strongly agree,Strongly agree,Strongly agree,Neutral,getting started,Yes
I am taking this survey at the workshop (and I have not previously taken a survey for this workshop),Yes,Staff,,Peters,"Life science (biology, genetics)",,Apple OS,Yes,I have never programmed,Excel or other spreadsheet program,Excel or other spreadsheet program,I do not have data yet.,Neutral,Neutral,Strongly agree,Neutral,Neutral,Neutral,functionality,Yes
